"municipalityCode","prefecture","municipalityName","municipalityDisplayName"
"01100","北海道","札幌市","北海道札幌市"
"01202","北海道","函館市","北海道函館市"
"01203","北海道","小樽市","北海道小樽市"
"01204","北海道","旭川市","北海道旭川市"
"01205","北海道","室蘭市","北海道室蘭市"
"01206","北海道","釧路市","北海道釧路市"
"01207","北海道","帯広市","北海道帯広市"
"01208","北海道","北見市","北海道北見市"
"01209","北海道","夕張市","北海道夕張市"
"01210","北海道","岩見沢市","北海道岩見沢市"
"01211","北海道","網走市","北海道網走市"
"01212","北海道","留萌市","北海道留萌市"
"01213","北海道","苫小牧市","北海道苫小牧市"
"01214","北海道","稚内市","北海道稚内市"
"01215","北海道","美唄市","北海道美唄市"
"01216","北海道","芦別市","北海道芦別市"
"01217","北海道","江別市","北海道江別市"
"01218","北海道","赤平市","北海道赤平市"
"01219","北海道","紋別市","北海道紋別市"
"01220","北海道","士別市","北海道士別市"
"01221","北海道","名寄市","北海道名寄市"
"01222","北海道","三笠市","北海道三笠市"
"01223","北海道","根室市","北海道根室市"
"01224","北海道","千歳市","北海道千歳市"
"01225","北海道","滝川市","北海道滝川市"
"01226","北海道","砂川市","北海道砂川市"
"01227","北海道","歌志内市","北海道歌志内市"
"01228","北海道","深川市","北海道深川市"
"01229","北海道","富良野市","北海道富良野市"
"01230","北海道","登別市","北海道登別市"
"01231","北海道","恵庭市","北海道恵庭市"
"01233","北海道","伊達市","北海道伊達市"
"01234","北海道","北広島市","北海道北広島市"
"01235","北海道","石狩市","北海道石狩市"
"01236","北海道","北斗市","北海道北斗市"
"02201","青森県","青森市","青森県青森市"
"02202","青森県","弘前市","青森県弘前市"
"02203","青森県","八戸市","青森県八戸市"
"02204","青森県","黒石市","青森県黒石市"
"02205","青森県","五所川原市","青森県五所川原市"
"02206","青森県","十和田市","青森県十和田市"
"02207","青森県","三沢市","青森県三沢市"
"02208","青森県","むつ市","青森県むつ市"
"02209","青森県","つがる市","青森県つがる市"
"02210","青森県","平川市","青森県平川市"
"03201","岩手県","盛岡市","岩手県盛岡市"
"03202","岩手県","宮古市","岩手県宮古市"
"03203","岩手県","大船渡市","岩手県大船渡市"
"03205","岩手県","花巻市","岩手県花巻市"
"03206","岩手県","北上市","岩手県北上市"
"03207","岩手県","久慈市","岩手県久慈市"
"03208","岩手県","遠野市","岩手県遠野市"
"03209","岩手県","一関市","岩手県一関市"
"03210","岩手県","陸前高田市","岩手県陸前高田市"
"03211","岩手県","釜石市","岩手県釜石市"
"03213","岩手県","二戸市","岩手県二戸市"
"03214","岩手県","八幡平市","岩手県八幡平市"
"03215","岩手県","奥州市","岩手県奥州市"
"03216","岩手県","滝沢市","岩手県滝沢市"
"04100","宮城県","仙台市","宮城県仙台市"
"04202","宮城県","石巻市","宮城県石巻市"
"04203","宮城県","塩竈市","宮城県塩竈市"
"04205","宮城県","気仙沼市","宮城県気仙沼市"
"04206","宮城県","白石市","宮城県白石市"
"04207","宮城県","名取市","宮城県名取市"
"04208","宮城県","角田市","宮城県角田市"
"04209","宮城県","多賀城市","宮城県多賀城市"
"04211","宮城県","岩沼市","宮城県岩沼市"
"04212","宮城県","登米市","宮城県登米市"
"04213","宮城県","栗原市","宮城県栗原市"
"04214","宮城県","東松島市","宮城県東松島市"
"04215","宮城県","大崎市","宮城県大崎市"
"04216","宮城県","富谷市","宮城県富谷市"
"05201","秋田県","秋田市","秋田県秋田市"
"05202","秋田県","能代市","秋田県能代市"
"05203","秋田県","横手市","秋田県横手市"
"05204","秋田県","大館市","秋田県大館市"
"05206","秋田県","男鹿市","秋田県男鹿市"
"05207","秋田県","湯沢市","秋田県湯沢市"
"05209","秋田県","鹿角市","秋田県鹿角市"
"05210","秋田県","由利本荘市","秋田県由利本荘市"
"05211","秋田県","潟上市","秋田県潟上市"
"05212","秋田県","大仙市","秋田県大仙市"
"05213","秋田県","北秋田市","秋田県北秋田市"
"05214","秋田県","にかほ市","秋田県にかほ市"
"05215","秋田県","仙北市","秋田県仙北市"
"06201","山形県","山形市","山形県山形市"
"06202","山形県","米沢市","山形県米沢市"
"06203","山形県","鶴岡市","山形県鶴岡市"
"06204","山形県","酒田市","山形県酒田市"
"06205","山形県","新庄市","山形県新庄市"
"06206","山形県","寒河江市","山形県寒河江市"
"06207","山形県","上山市","山形県上山市"
"06208","山形県","村山市","山形県村山市"
"06209","山形県","長井市","山形県長井市"
"06210","山形県","天童市","山形県天童市"
"06211","山形県","東根市","山形県東根市"
"06212","山形県","尾花沢市","山形県尾花沢市"
"06213","山形県","南陽市","山形県南陽市"
"07201","福島県","福島市","福島県福島市"
"07202","福島県","会津若松市","福島県会津若松市"
"07203","福島県","郡山市","福島県郡山市"
"07204","福島県","いわき市","福島県いわき市"
"07205","福島県","白河市","福島県白河市"
"07207","福島県","須賀川市","福島県須賀川市"
"07208","福島県","喜多方市","福島県喜多方市"
"07209","福島県","相馬市","福島県相馬市"
"07210","福島県","二本松市","福島県二本松市"
"07211","福島県","田村市","福島県田村市"
"07212","福島県","南相馬市","福島県南相馬市"
"07213","福島県","伊達市","福島県伊達市"
"07214","福島県","本宮市","福島県本宮市"
"08201","茨城県","水戸市","茨城県水戸市"
"08202","茨城県","日立市","茨城県日立市"
"08203","茨城県","土浦市","茨城県土浦市"
"08204","茨城県","古河市","茨城県古河市"
"08205","茨城県","石岡市","茨城県石岡市"
"08207","茨城県","結城市","茨城県結城市"
"08208","茨城県","龍ケ崎市","茨城県龍ケ崎市"
"08210","茨城県","下妻市","茨城県下妻市"
"08211","茨城県","常総市","茨城県常総市"
"08212","茨城県","常陸太田市","茨城県常陸太田市"
"08214","茨城県","高萩市","茨城県高萩市"
"08215","茨城県","北茨城市","茨城県北茨城市"
"08216","茨城県","笠間市","茨城県笠間市"
"08217","茨城県","取手市","茨城県取手市"
"08219","茨城県","牛久市","茨城県牛久市"
"08220","茨城県","つくば市","茨城県つくば市"
"08221","茨城県","ひたちなか市","茨城県ひたちなか市"
"08222","茨城県","鹿嶋市","茨城県鹿嶋市"
"08223","茨城県","潮来市","茨城県潮来市"
"08224","茨城県","守谷市","茨城県守谷市"
"08225","茨城県","常陸大宮市","茨城県常陸大宮市"
"08226","茨城県","那珂市","茨城県那珂市"
"08227","茨城県","筑西市","茨城県筑西市"
"08228","茨城県","坂東市","茨城県坂東市"
"08229","茨城県","稲敷市","茨城県稲敷市"
"08230","茨城県","かすみがうら市","茨城県かすみがうら市"
"08231","茨城県","桜川市","茨城県桜川市"
"08232","茨城県","神栖市","茨城県神栖市"
"08233","茨城県","行方市","茨城県行方市"
"08234","茨城県","鉾田市","茨城県鉾田市"
"08235","茨城県","つくばみらい市","茨城県つくばみらい市"
"08236","茨城県","小美玉市","茨城県小美玉市"
"09201","栃木県","宇都宮市","栃木県宇都宮市"
"09202","栃木県","足利市","栃木県足利市"
"09203","栃木県","栃木市","栃木県栃木市"
"09204","栃木県","佐野市","栃木県佐野市"
"09205","栃木県","鹿沼市","栃木県鹿沼市"
"09206","栃木県","日光市","栃木県日光市"
"09208","栃木県","小山市","栃木県小山市"
"09209","栃木県","真岡市","栃木県真岡市"
"09210","栃木県","大田原市","栃木県大田原市"
"09211","栃木県","矢板市","栃木県矢板市"
"09213","栃木県","那須塩原市","栃木県那須塩原市"
"09214","栃木県","さくら市","栃木県さくら市"
"09215","栃木県","那須烏山市","栃木県那須烏山市"
"09216","栃木県","下野市","栃木県下野市"
"10201","群馬県","前橋市","群馬県前橋市"
"10202","群馬県","高崎市","群馬県高崎市"
"10203","群馬県","桐生市","群馬県桐生市"
"10204","群馬県","伊勢崎市","群馬県伊勢崎市"
"10205","群馬県","太田市","群馬県太田市"
"10206","群馬県","沼田市","群馬県沼田市"
"10207","群馬県","館林市","群馬県館林市"
"10208","群馬県","渋川市","群馬県渋川市"
"10209","群馬県","藤岡市","群馬県藤岡市"
"10210","群馬県","富岡市","群馬県富岡市"
"10211","群馬県","安中市","群馬県安中市"
"10212","群馬県","みどり市","群馬県みどり市"
"11100","埼玉県","さいたま市","埼玉県さいたま市"
"11201","埼玉県","川越市","埼玉県川越市"
"11202","埼玉県","熊谷市","埼玉県熊谷市"
"11203","埼玉県","川口市","埼玉県川口市"
"11206","埼玉県","行田市","埼玉県行田市"
"11207","埼玉県","秩父市","埼玉県秩父市"
"11208","埼玉県","所沢市","埼玉県所沢市"
"11209","埼玉県","飯能市","埼玉県飯能市"
"11210","埼玉県","加須市","埼玉県加須市"
"11211","埼玉県","本庄市","埼玉県本庄市"
"11212","埼玉県","東松山市","埼玉県東松山市"
"11214","埼玉県","春日部市","埼玉県春日部市"
"11215","埼玉県","狭山市","埼玉県狭山市"
"11216","埼玉県","羽生市","埼玉県羽生市"
"11217","埼玉県","鴻巣市","埼玉県鴻巣市"
"11218","埼玉県","深谷市","埼玉県深谷市"
"11219","埼玉県","上尾市","埼玉県上尾市"
"11221","埼玉県","草加市","埼玉県草加市"
"11222","埼玉県","越谷市","埼玉県越谷市"
"11223","埼玉県","蕨市","埼玉県蕨市"
"11224","埼玉県","戸田市","埼玉県戸田市"
"11225","埼玉県","入間市","埼玉県入間市"
"11227","埼玉県","朝霞市","埼玉県朝霞市"
"11228","埼玉県","志木市","埼玉県志木市"
"11229","埼玉県","和光市","埼玉県和光市"
"11230","埼玉県","新座市","埼玉県新座市"
"11231","埼玉県","桶川市","埼玉県桶川市"
"11232","埼玉県","久喜市","埼玉県久喜市"
"11233","埼玉県","北本市","埼玉県北本市"
"11234","埼玉県","八潮市","埼玉県八潮市"
"11235","埼玉県","富士見市","埼玉県富士見市"
"11237","埼玉県","三郷市","埼玉県三郷市"
"11238","埼玉県","蓮田市","埼玉県蓮田市"
"11239","埼玉県","坂戸市","埼玉県坂戸市"
