"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2025年06月20日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/項目 コード","A1101","","A7101","","C610101","","C610104","","C610105","","C610106","","C610107","","C610108","","C610109","","C610110","","C610111","","C610114","","C610115","","C610116","","C610117","","C610118","","C610119","","C610120","","C610121","","C610122","","D2201","","D2209","","I5101",""
"調査年 コード","調査年","地域 コード","地域","/項目","A1101_総人口【人】","注釈","A7101_世帯数【世帯】","注釈","C610101_売上金額（民営）（農林漁業）【百万円】","注釈","C610104_売上金額（民営）（非農林漁業（公務を除く））【百万円】","注釈","C610105_売上金額（民営）（鉱業、採石業、砂利採取業）【百万円】","注釈","C610106_売上金額（民営）（建設業）【百万円】","注釈","C610107_売上金額（民営）（製造業）【百万円】","注釈","C610108_売上金額（民営）（電気・ガス・熱供給・水道業）【百万円】","注釈","C610109_売上金額（民営）（情報通信業）【百万円】","注釈","C610110_売上金額（民営）（運輸業、郵便業）【百万円】","注釈","C610111_売上金額（民営）（卸売業、小売業）【百万円】","注釈","C610114_売上金額（民営）（金融業、保険業）【百万円】","注釈","C610115_売上金額（民営）（不動産業、物品賃貸業）【百万円】","注釈","C610116_売上金額（民営）（学術研究、専門・技術サービス業）【百万円】","注釈","C610117_売上金額（民営）（宿泊業、飲食サービス業）【百万円】","注釈","C610118_売上金額（民営）（生活関連サービス業、娯楽業）【百万円】","注釈","C610119_売上金額（民営）（教育、学習支援業）【百万円】","注釈","C610120_売上金額（民営）（医療、福祉）【百万円】","注釈","C610121_売上金額（民営）（複合サービス事業）【百万円】","注釈","C610122_売上金額（民営）（サービス業（他に分類されないもの））【百万円】","注釈","D2201_財政力指数（市町村財政）【‐】","注釈","D2209_一般財源（市町村財政）【千円】","注釈","I5101_病院数【施設】","注釈"
"2020100000","2020年度","01100","北海道 札幌市","","1,973,395","","969,161","","14,142","","24,672,078","","3,881","","2,131,586","","851,920","","83,366","","1,262,838","","720,127","","10,499,430","","1,730,197","","924,990","","567,060","","336,697","","460,350","","160,946","","4,011,993","","79,605","","847,093","","0.74","","449,694,442","","202",""
"2020100000","2020年度","01101","北海道 札幌市 中央区","","248,680","","141,429","","5,432","","12,664,229","","X","","774,298","","121,979","","X","","1,037,293","","175,286","","4,839,162","","1,428,652","","533,980","","294,719","","150,365","","143,863","","40,796","","2,571,474","","16,155","","480,717","","-","","-","","39",""
"2020100000","2020年度","01102","北海道 札幌市 北区","","289,323","","139,675","","82","","2,517,985","","X","","287,390","","44,229","","X","","113,029","","52,557","","857,077","","86,670","","92,410","","60,181","","40,424","","46,431","","24,806","","674,344","","8,625","","123,251","","-","","-","","23",""
"2020100000","2020年度","01103","北海道 札幌市 東区","","265,379","","131,188","","132","","2,355,767","","X","","305,771","","216,354","","X","","19,652","","95,791","","1,244,809","","32,669","","71,587","","60,936","","26,872","","52,543","","14,894","","146,764","","13,555","","48,212","","-","","-","","24",""
"2020100000","2020年度","01104","北海道 札幌市 白石区","","211,835","","108,233","","723","","2,488,331","","0","","259,449","","134,978","","X","","22,233","","167,649","","1,441,302","","57,863","","69,810","","80,855","","26,078","","34,388","","7,241","","119,753","","X","","61,595","","-","","-","","20",""
"2020100000","2020年度","01105","北海道 札幌市 豊平区","","225,298","","118,650","","237","","1,077,038","","0","","155,560","","20,283","","X","","15,024","","13,042","","533,298","","33,178","","38,017","","25,168","","22,180","","43,222","","25,838","","107,958","","X","","38,936","","-","","-","","15",""
"2020100000","2020年度","01106","北海道 札幌市 南区","","135,777","","62,134","","248","","335,314","","1,293","","46,417","","8,006","","5,517","","1,630","","10,012","","118,100","","13,243","","8,094","","5,319","","15,240","","17,350","","7,747","","67,078","","3,869","","6,399","","-","","-","","15",""
"2020100000","2020年度","01107","北海道 札幌市 西区","","217,040","","103,849","","4,128","","1,468,043","","0","","136,995","","179,675","","3,914","","7,534","","53,644","","736,512","","23,438","","50,010","","19,038","","17,987","","53,389","","7,630","","118,748","","5,298","","54,232","","-","","-","","24",""
"2020100000","2020年度","01108","北海道 札幌市 厚別区","","125,083","","57,289","","X","","X","","0","","47,616","","53,621","","X","","37,811","","87,892","","299,813","","31,186","","38,480","","7,426","","13,620","","23,838","","13,397","","74,626","","5,032","","12,704","","-","","-","","16",""
