year_code,year,cd_area,area_name,A1101_総人口【人】,A7101_世帯数【世帯】,C610101_売上金額（民営）（農林漁業）【百万円】,C610104_売上金額（民営）（非農林漁業（公務を除く））【百万円】,C610105_売上金額（民営）（鉱業、採石業、砂利採取業）【百万円】,C610106_売上金額（民営）（建設業）【百万円】,C610107_売上金額（民営）（製造業）【百万円】,C610108_売上金額（民営）（電気・ガス・熱供給・水道業）【百万円】,C610109_売上金額（民営）（情報通信業）【百万円】,C610110_売上金額（民営）（運輸業、郵便業）【百万円】,C610111_売上金額（民営）（卸売業、小売業）【百万円】,C610114_売上金額（民営）（金融業、保険業）【百万円】,C610115_売上金額（民営）（不動産業、物品賃貸業）【百万円】,C610116_売上金額（民営）（学術研究、専門・技術サービス業）【百万円】,C610117_売上金額（民営）（宿泊業、飲食サービス業）【百万円】,C610118_売上金額（民営）（生活関連サービス業、娯楽業）【百万円】,C610119_売上金額（民営）（教育、学習支援業）【百万円】,C610120_売上金額（民営）（医療、福祉）【百万円】,C610121_売上金額（民営）（複合サービス事業）【百万円】,C610122_売上金額（民営）（サービス業（他に分類されないもの））【百万円】,D2201_財政力指数（市町村財政）【‐】,D2209_一般財源（市町村財政）【千円】,I5101_病院数【施設】
2020100000,2020年度,01100,北海道 札幌市,1973395,969161,14142,24672078,3881,2131586,851920,83366,1262838,720127,10499430,1730197,924990,567060,336697,460350,160946,4011993,79605,847093,0.74,449694442,202
2020100000,2020年度,01101,北海道 札幌市 中央区,248680,141429,5432,12664229,,774298,121979,,1037293,175286,4839162,1428652,533980,294719,150365,143863,40796,2571474,16155,480717,,,39
2020100000,2020年度,01102,北海道 札幌市 北区,289323,139675,82,2517985,,287390,44229,,113029,52557,857077,86670,92410,60181,40424,46431,24806,674344,8625,123251,,,23
2020100000,2020年度,01103,北海道 札幌市 東区,265379,131188,132,2355767,,305771,216354,,19652,95791,1244809,32669,71587,60936,26872,52543,14894,146764,13555,48212,,,24
2020100000,2020年度,01104,北海道 札幌市 白石区,211835,108233,723,2488331,0,259449,134978,,22233,167649,1441302,57863,69810,80855,26078,34388,7241,119753,,61595,,,20
2020100000,2020年度,01105,北海道 札幌市 豊平区,225298,118650,237,1077038,0,155560,20283,,15024,13042,533298,33178,38017,25168,22180,43222,25838,107958,,38936,,,15
2020100000,2020年度,01106,北海道 札幌市 南区,135777,62134,248,335314,1293,46417,8006,5517,1630,10012,118100,13243,8094,5319,15240,17350,7747,67078,3869,6399,,,15
2020100000,2020年度,01107,北海道 札幌市 西区,217040,103849,4128,1468043,0,136995,179675,3914,7534,53644,736512,23438,50010,19038,17987,53389,7630,118748,5298,54232,,,24
2020100000,2020年度,01108,北海道 札幌市 厚別区,125083,57289,,,0,47616,53621,,37811,87892,299813,31186,38480,7426,13620,23838,13397,74626,5032,12704,,,16
2020100000,2020年度,01109,北海道 札幌市 手稲区,142625,61080,,,,64520,53176,,749,26851,192746,15229,11827,8884,13103,24099,11393,83770,3291,8463,,,14
2020100000,2020年度,01110,北海道 札幌市 清田区,112355,45634,881,491346,,53571,19619,,7884,37404,236610,8070,10774,4534,10828,21226,7203,47478,,12584,,,12
2020100000,2020年度,01202,北海道 函館市,251084,121793,5107,1878803,,190228,,63899,26906,68480,709318,191594,50945,17823,58265,61901,20433,157361,13349,51017,0.48,64122486,27
2020100000,2020年度,01203,北海道 小樽市,111299,52817,1540,838420,0,51160,181363,58550,1612,49221,277291,28700,17439,6495,15890,36318,7688,65434,4068,37191,0.46,29079135,15
2020100000,2020年度,01204,北海道 旭川市,329306,156195,15943,2672709,71,257472,231826,36094,19028,112529,1252741,236997,64792,29473,39955,85969,17167,194722,16733,77141,0.54,72971362,39
2020100000,2020年度,01205,北海道 室蘭市,82383,41766,,,0,79468,,19796,6631,63945,222852,36984,15992,26191,45514,15594,8407,48702,3681,58221,0.63,20842517,7
2020100000,2020年度,01206,北海道 釧路市,165077,80349,10596,1494123,5798,135200,251456,24538,8105,87584,565551,131610,33936,14387,26030,45986,9115,92831,5972,56024,0.45,46291556,17
2020100000,2020年度,01207,北海道 帯広市,166536,80175,18217,1728299,388,195664,140877,18000,12900,49333,809452,142721,40900,31343,33191,61934,10983,120135,5099,55379,0.61,37489681,18
2020100000,2020年度,01208,北海道 北見市,115480,55188,17745,922754,587,105814,68454,48709,6565,31706,403250,76130,20691,11209,15730,21819,9924,66947,8448,26773,0.45,33824525,14
2020100000,2020年度,01209,北海道 夕張市,7334,3807,149,24108,0,3700,5802,,,587,6683,651,62,188,584,630,21,2593,1382,1041,0.21,5862162,0
2020100000,2020年度,01210,北海道 岩見沢市,79306,35584,8396,531152,0,51252,95055,10484,1985,29651,192648,36390,16960,8305,6807,13983,2737,37146,13255,14494,0.38,24047836,8
2020100000,2020年度,01211,北海道 網走市,35759,17253,11382,229091,,21431,56438,,763,7162,72285,12680,3216,4154,6428,7619,5394,17449,6739,4569,0.44,11460060,4
2020100000,2020年度,01212,北海道 留萌市,20114,9816,934,133441,,28440,,3741,474,8519,48616,7322,3011,1557,1935,5987,324,7610,1485,4895,0.33,7639860,3
2020100000,2020年度,01213,北海道 苫小牧市,170113,80130,2070,2536649,9136,189015,1022622,30616,6133,218411,609195,87113,40710,28510,25543,122386,8957,73920,8987,55396,0.79,35602228,13
2020100000,2020年度,01214,北海道 稚内市,33563,16060,8237,288814,484,40951,53570,4475,1109,10398,112620,20470,5233,2145,5137,10902,986,7762,5063,7510,0.39,12690819,3
2020100000,2020年度,01215,北海道 美唄市,20413,9434,1637,90582,2578,17784,13496,,480,5203,25631,1390,1353,537,2570,2947,249,10560,4283,1522,0.27,8986868,3
2020100000,2020年度,01216,北海道 芦別市,12555,6055,1611,47646,,4711,16065,,,1408,12039,2280,267,98,555,1617,311,4117,916,1496,0.26,6285360,3
2020100000,2020年度,01217,北海道 江別市,121056,53977,4223,478507,0,42027,94140,10214,5437,28933,167055,12367,9672,5083,9007,15989,23225,35684,3233,16441,0.56,23252829,6
2020100000,2020年度,01218,北海道 赤平市,9698,4494,659,51981,,8168,18948,,,1467,12366,783,236,56,274,2478,,5860,388,759,0.20,5352782,2
2020100000,2020年度,01219,北海道 紋別市,21215,11214,7479,196373,0,15041,71381,10832,606,8385,60057,6319,1873,2549,2864,5876,573,6016,830,3170,0.32,10161545,5
2020100000,2020年度,01220,北海道 士別市,17858,8184,13730,92391,433,18692,,,316,4369,37211,2285,1427,1600,1919,2855,314,3117,762,2026,0.26,10248231,1
2020100000,2020年度,01221,北海道 名寄市,27282,12810,3473,164798,,10912,,6565,727,9704,66415,18927,2500,1310,3343,5631,1053,7247,2827,4859,0.27,12891578,4
2020100000,2020年度,01222,北海道 三笠市,8040,3816,1624,48196,,7041,11312,,,1914,18500,170,861,,748,515,,2355,1244,711,0.20,5880434,2
2020100000,2020年度,01223,北海道 根室市,24636,11153,7329,181883,0,12223,55529,2442,662,4756,66916,14200,1561,1135,2306,4874,437,5177,3232,6434,0.35,9549246,3
2020100000,2020年度,01224,北海道 千歳市,97950,43809,12983,701207,,52230,,3231,1116,57290,188990,23981,23636,4345,18159,24446,7063,24376,2714,30594,0.78,19621404,7
