"標準地域コード","都道府県","政令市･郡･支庁･振興局等","政令市･郡･支庁･振興局等（ふりがな）","市区町村","市区町村（ふりがな）","廃置分合等施行年月日","廃置分合等情報有無"
"01100","北海道","札幌市","さっぽろし","","","1973-12-01","有"
"01202","北海道","","","函館市","はこだてし","2005-10-01","有"
"01203","北海道","","","小樽市","おたるし","1990-06-01","有"
"01204","北海道","","","旭川市","あさひかわし","2000-04-01","有"
"01205","北海道","","","室蘭市","むろらんし","1980-06-01","有"
"01206","北海道","","","釧路市","くしろし","2005-10-11","有"
"01207","北海道","","","帯広市","おびひろし","",""
"01208","北海道","","","北見市","きたみし","2006-03-05","有"
"01209","北海道","","","夕張市","ゆうばりし","",""
"01210","北海道","","","岩見沢市","いわみざわし","2006-03-27","有"
"01211","北海道","","","網走市","あばしりし","",""
"01212","北海道","","","留萌市","るもいし","",""
"01213","北海道","","","苫小牧市","とまこまいし","",""
"01214","北海道","","","稚内市","わっかないし","",""
"01215","北海道","","","美唄市","びばいし","",""
"01216","北海道","","","芦別市","あしべつし","",""
"01217","北海道","","","江別市","えべつし","",""
"01218","北海道","","","赤平市","あかびらし","",""
"01219","北海道","","","紋別市","もんべつし","",""
"01220","北海道","","","士別市","しべつし","2005-09-01","有"
"01221","北海道","","","名寄市","なよろし","2006-03-27","有"
"01222","北海道","","","三笠市","みかさし","",""
"01223","北海道","","","根室市","ねむろし","",""
"01224","北海道","","","千歳市","ちとせし","1985-02-15","有"
"01225","北海道","","","滝川市","たきかわし","1975-04-01","有"
"01226","北海道","","","砂川市","すながわし","1988-09-01","有"
"01227","北海道","","","歌志内市","うたしないし","",""
"01228","北海道","","","深川市","ふかがわし","",""
"01229","北海道","","","富良野市","ふらのし","",""
"01230","北海道","","","登別市","のぼりべつし","1980-06-01","有"
"01231","北海道","","","恵庭市","えにわし","1986-03-01","有"
"01233","北海道","","","伊達市","だてし","2006-03-01","有"
"01234","北海道","","","北広島市","きたひろしまし","1996-09-01","有"
"01235","北海道","","","石狩市","いしかりし","2005-10-01","有"
"01236","北海道","","","北斗市","ほくとし","2021-03-10","有"
"02201","青森県","","","青森市","あおもりし","2007-09-01","有"
"02202","青森県","","","弘前市","ひろさきし","2006-02-27","有"
"02203","青森県","","","八戸市","はちのへし","2017-01-01","有"
"02204","青森県","","","黒石市","くろいしし","1980-09-01","有"
"02205","青森県","","","五所川原市","ごしょがわらし","2005-12-01","有"
"02206","青森県","","","十和田市","とわだし","2008-12-25","有"
"02207","青森県","","","三沢市","みさわし","",""
